Graph,n,var,clause,time,lambda,status
C_3,3,21,84,0.00588,7,OPT
C_4,4,32,146,0.001823,8,OPT
C_5,5,45,230,0.000914,9,OPT
C_6,6,60,306,0.002543,10,OPT
C_7,7,77,392,0.001545,11,OPT
C_8,8,96,488,0.003098,12,OPT
C_9,9,117,594,0.003941,13,OPT
C_10,10,140,710,0.0035,14,OPT
C_11,11,165,836,0.0093,15,OPT
C_12,12,192,972,0.009012,16,OPT
C_13,13,221,1118,0.006263,17,OPT
C_14,14,252,1274,0.003001,18,OPT
C_15,15,285,1440,0.003973,19,OPT
C_16,16,320,1616,0.005388,20,OPT
C_17,17,357,1802,0.010215,21,OPT
C_18,18,396,1998,0.018295,22,OPT
C_19,19,437,2204,0.020089,23,OPT
C_20,20,480,2420,0.015582,24,OPT
C_21,21,525,2646,0.022177,25,OPT
C_22,22,572,2882,0.011884,26,OPT
C_23,23,621,3128,0.013236,27,OPT
C_24,24,672,3384,0.011241,28,OPT
C_25,25,725,3650,0.01088,29,OPT
C_26,26,780,3926,0.01295,30,OPT
C_27,27,837,4212,0.01413,31,OPT
C_28,28,896,4508,0.021609,32,OPT
C_29,29,957,4814,0.01884,33,OPT
C_30,30,1020,5130,0.025881,34,OPT
C_31,31,1085,5456,0.020038,35,OPT
C_32,32,1152,5792,0.017697,36,OPT
C_33,33,1221,6138,0.021522,37,OPT
C_34,34,1292,6494,0.018075,38,OPT
C_35,35,1365,6860,0.022084,39,OPT
C_36,36,1440,7236,0.021715,40,OPT
C_37,37,1517,7622,0.02374,41,OPT
C_38,38,1596,8018,0.021141,42,OPT
C_39,39,1677,8424,0.02679,43,OPT
C_40,40,1760,8840,0.029415,44,OPT
C_41,41,1845,9266,0.039739,45,OPT
C_42,42,1932,9702,0.024584,46,OPT
C_43,43,2021,10148,0.027841,47,OPT
C_44,44,2112,10604,0.032096,48,OPT
C_45,45,2205,11070,0.031521,49,OPT
C_46,46,2300,11546,0.123235,50,OPT
C_47,47,2397,12032,0.047702,51,OPT
C_48,48,2496,12528,0.096512,52,OPT
C_49,49,2597,13034,0.047994,53,OPT
C_50,50,2700,13550,0.044092,54,OPT
