Graph,n,var,clause,time,lambda,status
C_3,3,12,48,0.002274,4,OPT
C_4,4,16,74,0.002468,4,OPT
C_5,5,20,105,0.000595,4,OPT
C_6,6,24,126,0.000562,4,OPT
C_7,7,28,147,0.000615,4,OPT
C_8,8,32,168,0.004443,4,OPT
C_9,9,36,189,0.00134,4,OPT
C_10,10,40,210,0.003809,4,OPT
K_3,3,12,48,0.000231,4,OPT
K_4,4,24,134,0.002474,6,OPT
K_5,5,40,285,0.00606,8,OPT
K_6,6,60,519,0.013195,10,OPT
K_7,7,84,854,0.030069,12,OPT
Q_2,4,16,74,0.000323,4,OPT
Q_3,8,48,352,0.002037,6,OPT
Q_4,16,112,1184,0.011713,7,OPT
