Graph,n,var,clause/constr,time,lambda,UB,status
C_3,3,16,46,0.018091,4,4,OPT
C_4,4,29,99,0.008744,4,6,OPT
C_5,5,26,101,0.001297,4,4,OPT
C_6,6,31,121,0.001338,4,4,OPT
C_7,7,50,197,0.005743,4,6,OPT
C_8,8,41,161,0.003146,4,4,OPT
C_9,9,46,181,0.007542,4,4,OPT
C_10,10,71,281,0.013111,4,6,OPT
C_11,11,56,221,0.008734,4,4,OPT
C_12,12,61,241,0.004245,4,4,OPT
C_13,13,92,365,0.010135,4,6,OPT
C_14,14,71,281,0.003964,4,4,OPT
C_15,15,76,301,0.006944,4,4,OPT
C_16,16,113,449,0.00812,4,6,OPT
C_17,17,86,341,0.008059,4,4,OPT
C_18,18,91,361,0.004642,4,4,OPT
C_19,19,134,533,0.010067,4,6,OPT
C_20,20,101,401,0.004896,4,4,OPT
C_21,21,106,421,0.007899,4,4,OPT
C_22,22,155,617,0.014169,4,6,OPT
C_23,23,116,461,0.008948,4,4,OPT
C_24,24,121,481,0.00559,4,4,OPT
C_25,25,176,701,0.013553,4,6,OPT
C_26,26,131,521,0.007158,4,4,OPT
C_27,27,136,541,0.010342,4,4,OPT
C_28,28,197,785,0.013299,4,6,OPT
C_29,29,146,581,0.010143,4,4,OPT
C_30,30,151,601,0.007453,4,4,OPT
C_31,31,218,869,0.015926,4,6,OPT
C_32,32,161,641,0.00755,4,4,OPT
C_33,33,166,661,0.01065,4,4,OPT
C_34,34,239,953,0.017286,4,6,OPT
C_35,35,176,701,0.011362,4,4,OPT
C_36,36,181,721,0.010047,4,4,OPT
C_37,37,260,1037,0.017947,4,6,OPT
C_38,38,191,761,0.008812,4,4,OPT
C_39,39,196,781,0.010438,4,4,OPT
C_40,40,281,1121,0.021278,4,6,OPT
C_41,41,206,821,0.011569,4,4,OPT
C_42,42,211,841,0.008842,4,4,OPT
C_43,43,302,1205,0.021231,4,6,OPT
C_44,44,221,881,0.010752,4,4,OPT
C_45,45,226,901,0.015028,4,4,OPT
C_46,46,323,1289,0.028766,4,6,OPT
C_47,47,236,941,0.019423,4,4,OPT
C_48,48,241,961,0.011349,4,4,OPT
C_49,49,344,1373,0.02816,4,6,OPT
C_50,50,251,1001,0.011018,4,4,OPT
K_3,3,16,46,0.000523,4,4,OPT
K_4,4,29,123,0.00142,6,6,OPT
K_5,5,46,261,0.003247,8,8,OPT
K_6,6,67,478,0.002254,10,10,OPT
K_7,7,92,792,0.003296,12,12,OPT
K_8,8,121,1221,0.006408,14,14,OPT
K_9,9,154,1783,0.005924,16,16,OPT
K_10,10,191,2496,0.007153,18,18,OPT
K_11,11,232,3378,0.009701,20,20,OPT
K_12,12,277,4447,0.012069,22,22,OPT
K_13,13,326,5721,0.016109,24,24,OPT
K_14,14,379,7218,0.02433,26,26,OPT
K_15,15,436,8956,0.027047,28,28,OPT
K_16,16,497,10953,0.038692,30,30,OPT
K_17,17,562,13227,0.04921,32,32,OPT
K_18,18,631,15796,0.055747,34,34,OPT
K_19,19,704,18678,0.072137,36,36,OPT
K_20,20,781,21891,0.080478,38,38,OPT
K_21,21,862,25453,0.098655,40,40,OPT
K_22,22,947,29382,0.122126,42,42,OPT
K_23,23,1036,33696,0.124953,44,44,OPT
K_24,24,1129,38413,0.15973,46,46,OPT
K_25,25,1226,43551,0.286514,48,48,OPT
K_26,26,1327,49128,0.334137,50,50,OPT
K_27,27,1432,55162,0.129074,52,52,OPT
K_28,28,1541,61671,0.13792,54,54,OPT
K_29,29,1654,68673,0.151439,56,56,OPT
K_30,30,1771,76186,0.194603,58,58,OPT
K_31,31,1892,84228,0.197225,60,60,OPT
K_32,32,2017,92817,0.210243,62,62,OPT
K_33,33,2146,101971,0.236522,64,64,OPT
K_34,34,2279,111708,0.273984,66,66,OPT
K_35,35,2416,122046,0.296669,68,68,OPT
K_36,36,2557,133003,0.298094,70,70,OPT
K_37,37,2702,144597,0.334611,72,72,OPT
K_38,38,2851,156846,0.367261,74,74,OPT
K_39,39,3004,169768,0.392427,76,76,OPT
K_40,40,3161,183381,0.446212,78,78,OPT
K_41,41,3322,197703,0.462472,80,80,OPT
K_42,42,3487,212752,0.501558,82,82,OPT
K_43,43,3656,228546,0.545306,84,84,OPT
K_44,44,3829,245103,0.603895,86,86,OPT
K_45,45,4006,262441,0.640451,88,88,OPT
K_46,46,4187,280578,0.689535,90,90,OPT
K_47,47,4372,299532,0.745332,92,92,OPT
K_48,48,4561,319321,0.783401,94,94,OPT
K_49,49,4754,339963,0.833056,96,96,OPT
K_50,50,4951,361476,0.889068,98,98,OPT
Q_3,8,73,425,0.011155,6,8,OPT
Q_4,16,161,1409,0.046539,7,9,OPT
Q_5,32,417,5105,0.901974,8,12,OPT
Q_6,64,1281,20865,60.008223,12,19,FEASIBLE
Q_7,128,3201,66561,60.081513,17,24,FEASIBLE
Q_8,256,6401,164865,60.061562,22,24,FEASIBLE
Q_9,512,15361,480257,60.202269,29,29,FEASIBLE
Q_10,1024,35841,1335809,38.945485,34,34,FEASIBLE
Q_11,2048,81921,3586049,73.52042,39,39,FEASIBLE
