Graph,n,var,clause,time,lambda,UB,status
C_3,3,12,48,0.000775,4,4 -> 3,OPT
C_4,4,16,74,0.000775,4,6 -> 5 -> 4 -> 3,OPT
C_5,5,20,105,0.000248,4,4 -> 3,OPT
C_6,6,24,126,0.000287,4,4 -> 3,OPT
C_7,7,28,147,0.001264,4,6 -> 5 -> 4 -> 3,OPT
C_8,8,32,168,0.00207,4,4 -> 3,OPT
C_9,9,36,189,0.000383,4,4 -> 3,OPT
C_10,10,40,210,0.001754,4,6 -> 5 -> 4 -> 3,OPT
C_11,11,44,231,0.000488,4,4 -> 3,OPT
C_12,12,48,252,0.000493,4,4 -> 3,OPT
C_13,13,52,273,0.001881,4,6 -> 5 -> 4 -> 3,OPT
C_14,14,56,294,0.000514,4,4 -> 3,OPT
C_15,15,60,315,0.00059,4,4 -> 3,OPT
C_16,16,64,336,0.002362,4,6 -> 5 -> 4 -> 3,OPT
C_17,17,68,357,0.000639,4,4 -> 3,OPT
C_18,18,72,378,0.000658,4,4 -> 3,OPT
C_19,19,76,399,0.002705,4,6 -> 5 -> 4 -> 3,OPT
C_20,20,80,420,0.000752,4,4 -> 3,OPT
C_21,21,84,441,0.000738,4,4 -> 3,OPT
C_22,22,88,462,0.003302,4,6 -> 5 -> 4 -> 3,OPT
C_23,23,92,483,0.000815,4,4 -> 3,OPT
C_24,24,96,504,0.000878,4,4 -> 3,OPT
C_25,25,100,525,0.005722,4,6 -> 5 -> 4 -> 3,OPT
C_26,26,104,546,0.000958,4,4 -> 3,OPT
C_27,27,108,567,0.000976,4,4 -> 3,OPT
C_28,28,112,588,0.005996,4,6 -> 5 -> 4 -> 3,OPT
C_29,29,116,609,0.001027,4,4 -> 3,OPT
C_30,30,120,630,0.001061,4,4 -> 3,OPT
C_31,31,124,651,0.004472,4,6 -> 5 -> 4 -> 3,OPT
C_32,32,128,672,0.001199,4,4 -> 3,OPT
C_33,33,132,693,0.001217,4,4 -> 3,OPT
C_34,34,136,714,0.009235,4,6 -> 5 -> 4 -> 3,OPT
C_35,35,140,735,0.001221,4,4 -> 3,OPT
C_36,36,144,756,0.00134,4,4 -> 3,OPT
C_37,37,148,777,0.007285,4,6 -> 5 -> 4 -> 3,OPT
C_38,38,152,798,0.00138,4,4 -> 3,OPT
C_39,39,156,819,0.001478,4,4 -> 3,OPT
C_40,40,160,840,0.005633,4,6 -> 5 -> 4 -> 3,OPT
C_41,41,164,861,0.001422,4,4 -> 3,OPT
C_42,42,168,882,0.001554,4,4 -> 3,OPT
C_43,43,172,903,0.005993,4,6 -> 5 -> 4 -> 3,OPT
C_44,44,176,924,0.001572,4,4 -> 3,OPT
C_45,45,180,945,0.001526,4,4 -> 3,OPT
C_46,46,184,966,0.006443,4,6 -> 5 -> 4 -> 3,OPT
C_47,47,188,987,0.003567,4,4 -> 3,OPT
C_48,48,192,1008,0.001648,4,4 -> 3,OPT
C_49,49,196,1029,0.007686,4,6 -> 5 -> 4 -> 3,OPT
C_50,50,200,1050,0.001767,4,4 -> 3,OPT
