Graph,n,var,clause,time,lambda,UB,status
C_3,3,12,48,0.01263,4,4 -> 3,OPT
C_4,4,16,74,0.009425,4,6 -> 5 -> 4 -> 3,OPT
C_5,5,20,105,0.000645,4,4 -> 3,OPT
C_6,6,24,126,0.000756,4,4 -> 3,OPT
C_7,7,28,147,0.005356,4,6 -> 5 -> 4 -> 3,OPT
C_8,8,32,168,0.001119,4,4 -> 3,OPT
C_9,9,36,189,0.002167,4,4 -> 3,OPT
C_10,10,40,210,0.005843,4,6 -> 5 -> 4 -> 3,OPT
C_11,11,44,231,0.001785,4,4 -> 3,OPT
C_12,12,48,252,0.00093,4,4 -> 3,OPT
C_13,13,52,273,0.004753,4,6 -> 5 -> 4 -> 3,OPT
C_14,14,56,294,0.001488,4,4 -> 3,OPT
C_15,15,60,315,0.000928,4,4 -> 3,OPT
C_16,16,64,336,0.007401,4,6 -> 5 -> 4 -> 3,OPT
C_17,17,68,357,0.001974,4,4 -> 3,OPT
C_18,18,72,378,0.00121,4,4 -> 3,OPT
C_19,19,76,399,0.007215,4,6 -> 5 -> 4 -> 3,OPT
C_20,20,80,420,0.001429,4,4 -> 3,OPT
C_21,21,84,441,0.002161,4,4 -> 3,OPT
C_22,22,88,462,0.006739,4,6 -> 5 -> 4 -> 3,OPT
C_23,23,92,483,0.001581,4,4 -> 3,OPT
C_24,24,96,504,0.004451,4,4 -> 3,OPT
C_25,25,100,525,0.006702,4,6 -> 5 -> 4 -> 3,OPT
C_26,26,104,546,0.00251,4,4 -> 3,OPT
C_27,27,108,567,0.003528,4,4 -> 3,OPT
C_28,28,112,588,0.016296,4,6 -> 5 -> 4 -> 3,OPT
C_29,29,116,609,0.004894,4,4 -> 3,OPT
C_30,30,120,630,0.001718,4,4 -> 3,OPT
C_31,31,124,651,0.016891,4,6 -> 5 -> 4 -> 3,OPT
C_32,32,128,672,0.00348,4,4 -> 3,OPT
C_33,33,132,693,0.005404,4,4 -> 3,OPT
C_34,34,136,714,0.014752,4,6 -> 5 -> 4 -> 3,OPT
C_35,35,140,735,0.002447,4,4 -> 3,OPT
C_36,36,144,756,0.003032,4,4 -> 3,OPT
C_37,37,148,777,0.010664,4,6 -> 5 -> 4 -> 3,OPT
C_38,38,152,798,0.002074,4,4 -> 3,OPT
C_39,39,156,819,0.002325,4,4 -> 3,OPT
C_40,40,160,840,0.018554,4,6 -> 5 -> 4 -> 3,OPT
C_41,41,164,861,0.003859,4,4 -> 3,OPT
C_42,42,168,882,0.003918,4,4 -> 3,OPT
C_43,43,172,903,0.064562,4,6 -> 5 -> 4 -> 3,OPT
C_44,44,176,924,0.004178,4,4 -> 3,OPT
C_45,45,180,945,0.004607,4,4 -> 3,OPT
C_46,46,184,966,0.03239,4,6 -> 5 -> 4 -> 3,OPT
C_47,47,188,987,0.006655,4,4 -> 3,OPT
C_48,48,192,1008,0.005846,4,4 -> 3,OPT
C_49,49,196,1029,0.01517,4,6 -> 5 -> 4 -> 3,OPT
C_50,50,200,1050,0.002649,4,4 -> 3,OPT
