Graph,n,var,clause,time,lambda,UB,status
Q_2,4,16,74,0.005201,4,5 -> 4 -> 3,OPT
Q_3,8,48,352,0.008812,6,8 -> 7 -> 6 -> 5,OPT
Q_4,16,112,1184,0.143081,7,9 -> 8 -> 7 -> 6,OPT
Q_5,32,256,3664,0.342041,8,12 -> 11 -> 10 -> 9 -> 8 -> 7,OPT
Q_6,64,640,11808,0.0,10,10,FEASIBLE_ESTIMATE
Q_7,128,1408,32640,0.0,11,11,FEASIBLE_ESTIMATE
Q_8,256,3072,87296,0.0,12,12,FEASIBLE_ESTIMATE
Q_9,512,6656,227328,0.0,13,13,FEASIBLE_ESTIMATE
Q_10,1024,14336,579072,0.0,14,14,FEASIBLE_ESTIMATE
Q_11,2048,30720,1447936,0.0,15,15,FEASIBLE_ESTIMATE
Q_12,4096,65536,3563520,0.0,16,16,FEASIBLE_ESTIMATE
Q_13,8192,139264,8650752,0.0,17,17,FEASIBLE_ESTIMATE
Q_14,16384,294912,20750336,0.0,18,18,FEASIBLE_ESTIMATE
Q_15,32768,622592,49250304,0.0,19,19,FEASIBLE_ESTIMATE
Q_16,65536,1310720,115802112,0.0,20,20,FEASIBLE_ESTIMATE
Q_17,131072,2752512,270008320,0.0,21,21,FEASIBLE_ESTIMATE
Q_18,262144,5767168,624820224,0.0,22,22,FEASIBLE_ESTIMATE
Q_19,524288,12058624,1436024832,0.0,23,23,FEASIBLE_ESTIMATE
Q_20,1048576,25165824,3279945728,0.0,24,24,FEASIBLE_ESTIMATE
Q_21,2097152,52428800,7449083904,0.0,25,25,FEASIBLE_ESTIMATE
Q_22,4194304,109051904,16829644800,0.0,26,26,FEASIBLE_ESTIMATE
Q_23,8388608,226492416,37841010688,0.0,27,27,FEASIBLE_ESTIMATE
Q_24,16777216,469762048,84708163584,0.0,28,28,FEASIBLE_ESTIMATE
Q_25,33554432,973078528,188844343296,0.0,29,29,FEASIBLE_ESTIMATE
Q_26,67108864,2013265920,419396845568,0.0,30,30,FEASIBLE_ESTIMATE
Q_27,134217728,4160749568,928115589120,0.0,31,31,FEASIBLE_ESTIMATE
Q_28,268435456,8589934592,2047088787456,0.0,32,32,FEASIBLE_ESTIMATE
Q_29,536870912,17716740096,4501125726208,0.0,33,33,FEASIBLE_ESTIMATE
Q_30,1073741824,36507222016,9868224233472,0.0,34,34,FEASIBLE_ESTIMATE
Q_31,2147483648,75161927680,21575768211456,0.0,35,35,FEASIBLE_ESTIMATE
Q_32,4294967296,154618822656,47051366727680,0.0,36,36,FEASIBLE_ESTIMATE
Q_33,8589934592,317827579904,102357660598272,0.0,37,37,FEASIBLE_ESTIMATE
Q_34,17179869184,652835028992,222161478352896,0.0,38,38,FEASIBLE_ESTIMATE
Q_35,34359738368,1340029796352,481139416367104,0.0,39,39,FEASIBLE_ESTIMATE
Q_36,68719476736,2748779069440,1039863121969152,0.0,40,40,FEASIBLE_ESTIMATE
Q_37,137438953472,5634997092352,2243003720663040,0.0,41,41,FEASIBLE_ESTIMATE
Q_38,274877906944,11544872091648,4829192508145664,0.0,42,42,FEASIBLE_ESTIMATE
Q_39,549755813888,23639499997184,10378840010391552,0.0,43,43,FEASIBLE_ESTIMATE
Q_40,1099511627776,48378511622144,22268408997347328,0.0,44,44,FEASIBLE_ESTIMATE
Q_41,2199023255552,98956046499840,47701212459433984,0.0,45,45,FEASIBLE_ESTIMATE
Q_42,4398046511104,202310139510784,102023683941335040,0.0,46,46,FEASIBLE_ESTIMATE
Q_43,8796093022208,413416372043776,217888020253114368,0.0,47,47,FEASIBLE_ESTIMATE
Q_44,17592186044416,844424930131968,464680002177204224,0.0,48,48,FEASIBLE_ESTIMATE
Q_45,35184372088832,1724034232352768,989666018114666496,0.0,49,49,FEASIBLE_ESTIMATE
Q_46,70368744177664,3518437208883200,2105045797702729728,0.0,50,50,FEASIBLE_ESTIMATE
Q_47,140737488355328,7177611906121728,4471933692490547200,0.0,51,51,FEASIBLE_ESTIMATE
Q_48,281474976710656,14636698788954112,9488802939892924416,0.0,52,52,FEASIBLE_ESTIMATE
Q_49,562949953421312,29836347531329536,20110824136022949888,0.0,53,53,FEASIBLE_ESTIMATE
Q_50,1125899906842624,60798594969501696,42576467927207247872,0.0,54,54,FEASIBLE_ESTIMATE
