Graph,n,var,clause,time,lambda,status
C_3,3,12,48,0.006541,4,OPT
C_4,4,16,74,0.00048,4,OPT
C_5,5,20,105,0.000792,4,OPT
C_6,6,24,126,0.000732,4,OPT
C_7,7,28,147,0.000781,4,OPT
C_8,8,32,168,0.000827,4,OPT
C_9,9,36,189,0.005563,4,OPT
C_10,10,40,210,0.001938,4,OPT
C_11,11,44,231,0.001184,4,OPT
C_12,12,48,252,0.001629,4,OPT
C_13,13,52,273,0.002336,4,OPT
C_14,14,56,294,0.002206,4,OPT
C_15,15,60,315,0.001424,4,OPT
C_16,16,64,336,0.002501,4,OPT
C_17,17,68,357,0.006933,4,OPT
C_18,18,72,378,0.005822,4,OPT
C_19,19,76,399,0.002168,4,OPT
C_20,20,80,420,0.002016,4,OPT
C_21,21,84,441,0.014864,4,OPT
C_22,22,88,462,0.002034,4,OPT
C_23,23,92,483,0.009458,4,OPT
C_24,24,96,504,0.002182,4,OPT
C_25,25,100,525,0.003104,4,OPT
C_26,26,104,546,0.010737,4,OPT
C_27,27,108,567,0.002864,4,OPT
C_28,28,112,588,0.009341,4,OPT
C_29,29,116,609,0.008768,4,OPT
C_30,30,120,630,0.002707,4,OPT
C_31,31,124,651,0.002924,4,OPT
C_32,32,128,672,0.008283,4,OPT
C_33,33,132,693,0.006812,4,OPT
C_34,34,136,714,0.003621,4,OPT
C_35,35,140,735,0.003215,4,OPT
C_36,36,144,756,0.003635,4,OPT
C_37,37,148,777,0.003941,4,OPT
C_38,38,152,798,0.012962,4,OPT
C_39,39,156,819,0.004573,4,OPT
C_40,40,160,840,0.008064,4,OPT
C_41,41,164,861,0.003647,4,OPT
C_42,42,168,882,0.005885,4,OPT
C_43,43,172,903,0.004166,4,OPT
C_44,44,176,924,0.004163,4,OPT
C_45,45,180,945,0.003849,4,OPT
C_46,46,184,966,0.004501,4,OPT
C_47,47,188,987,0.004234,4,OPT
C_48,48,192,1008,0.007557,4,OPT
C_49,49,196,1029,0.004411,4,OPT
C_50,50,200,1050,0.004458,4,OPT
K_3,3,12,48,0.000306,4,OPT
K_4,4,24,134,0.001021,6,OPT
K_5,5,40,285,0.007454,8,OPT
K_6,6,60,519,0.016422,10,OPT
K_7,7,84,854,0.05328,12,OPT
K_8,8,112,1308,0.144797,14,OPT
K_9,9,144,1899,0.508595,16,OPT
K_10,10,180,2645,1.450178,18,OPT
K_11,11,220,3564,5.375454,20,OPT
K_12,12,264,4674,16.074397,22,OPT
Q_2,4,16,74,0.000435,4,OPT
Q_3,8,48,352,0.008296,6,OPT
Q_4,16,112,1184,0.020621,7,OPT
Q_5,32,256,3664,0.140989,8,OPT
