Graph,n,var,constr,time,lambda,UB,status
C_3,3,7,9,0.084548,4,4,OPT
C_4,4,11,16,0.047236,4,6,OPT
C_5,5,16,25,0.044725,4,4,OPT
C_6,6,19,30,0.044051,4,4,OPT
C_7,7,22,35,0.044175,4,6,OPT
C_8,8,25,40,0.0598,4,4,OPT
C_9,9,28,45,0.043347,4,4,OPT
C_10,10,31,50,0.049744,4,6,OPT
C_11,11,34,55,0.04734,4,4,OPT
C_12,12,37,60,0.054303,4,4,OPT
C_13,13,40,65,0.054393,4,6,OPT
C_14,14,43,70,0.05358,4,4,OPT
C_15,15,46,75,0.054084,4,4,OPT
C_16,16,49,80,0.056348,4,6,OPT
C_17,17,52,85,0.056567,4,4,OPT
C_18,18,55,90,0.067311,4,4,OPT
C_19,19,58,95,0.06179,4,6,OPT
C_20,20,61,100,0.064525,4,4,OPT
C_21,21,64,105,0.058965,4,4,OPT
C_22,22,67,110,0.065409,4,6,OPT
C_23,23,70,115,0.061122,4,4,OPT
C_24,24,73,120,0.063026,4,4,OPT
C_25,25,76,125,0.066105,4,6,OPT
C_26,26,79,130,0.073789,4,4,OPT
C_27,27,82,135,0.064353,4,4,OPT
C_28,28,85,140,0.070575,4,6,OPT
C_29,29,88,145,0.072254,4,4,OPT
C_30,30,91,150,0.073911,4,4,OPT
C_31,31,94,155,0.075054,4,6,OPT
C_32,32,97,160,0.07309,4,4,OPT
C_33,33,100,165,0.073672,4,4,OPT
C_34,34,103,170,0.077109,4,6,OPT
C_35,35,106,175,0.075107,4,4,OPT
C_36,36,109,180,0.079449,4,4,OPT
C_37,37,112,185,0.084019,4,6,OPT
C_38,38,115,190,0.082407,4,4,OPT
C_39,39,118,195,0.084732,4,4,OPT
C_40,40,121,200,0.09184,4,6,OPT
C_41,41,124,205,0.084109,4,4,OPT
C_42,42,127,210,0.089927,4,4,OPT
C_43,43,130,215,0.088567,4,6,OPT
C_44,44,133,220,0.086675,4,4,OPT
C_45,45,136,225,0.092195,4,4,OPT
C_46,46,139,230,0.095854,4,6,OPT
C_47,47,142,235,0.0927,4,4,OPT
C_48,48,145,240,0.130247,4,4,OPT
C_49,49,148,245,0.105209,4,6,OPT
C_50,50,151,250,0.097449,4,4,OPT
K_3,3,7,9,0.034325,4,4,OPT
K_4,4,11,16,0.037332,6,6,OPT
K_5,5,16,25,0.037714,8,8,OPT
K_6,6,22,36,0.042746,10,10,OPT
K_7,7,29,49,0.044175,12,12,OPT
K_8,8,37,64,0.04769,14,14,OPT
K_9,9,46,81,0.075168,16,16,OPT
K_10,10,56,100,0.053985,18,18,OPT
K_11,11,67,121,0.055074,20,20,OPT
K_12,12,79,144,0.056746,22,22,OPT
K_13,13,92,169,0.065341,24,24,OPT
K_14,14,106,196,0.067467,26,26,OPT
K_15,15,121,225,0.075146,28,28,OPT
K_16,16,137,256,0.076047,30,30,OPT
K_17,17,154,289,0.227402,32,32,OPT
K_18,18,172,324,0.105715,34,34,OPT
K_19,19,191,361,0.102116,36,36,OPT
K_20,20,211,400,0.103955,38,38,OPT
K_21,21,232,441,0.118836,40,40,OPT
K_22,22,254,484,0.116173,42,42,OPT
K_23,23,277,529,0.140754,44,44,OPT
K_24,24,301,576,0.132104,46,46,OPT
K_25,25,326,625,0.147849,48,48,OPT
K_26,26,352,676,0.192288,50,50,OPT
K_27,27,379,729,0.220117,52,52,OPT
K_28,28,407,784,0.183936,54,54,OPT
K_29,29,436,841,0.178195,56,56,OPT
K_30,30,466,900,0.201675,58,58,OPT
K_31,31,497,961,0.275356,60,60,OPT
K_32,32,529,1024,0.298168,62,62,OPT
K_33,33,562,1089,0.265637,64,64,OPT
K_34,34,596,1156,0.269037,66,66,OPT
K_35,35,631,1225,0.317711,68,68,OPT
K_36,36,667,1296,0.288369,70,70,OPT
K_37,37,704,1369,0.284643,72,72,OPT
K_38,38,742,1444,0.319642,74,74,OPT
K_39,39,781,1521,0.315636,76,76,OPT
K_40,40,821,1600,0.345017,78,78,OPT
K_41,41,862,1681,0.422095,80,80,OPT
K_42,42,904,1764,0.351975,82,82,OPT
K_43,43,947,1849,0.536547,84,84,OPT
K_44,44,991,1936,0.41411,86,86,OPT
K_45,45,1036,2025,0.400107,88,88,OPT
K_46,46,1082,2116,0.474642,90,90,OPT
K_47,47,1129,2209,0.431057,92,92,OPT
K_48,48,1177,2304,0.4484,94,94,OPT
K_49,49,1226,2401,0.486482,96,96,OPT
K_50,50,1276,2500,0.54742,98,98,OPT
Q_2,4,11,16,0.04633,4,5,OPT
Q_3,8,33,56,0.053361,6,8,OPT
Q_4,16,97,176,0.35653,7,9,OPT
Q_5,32,273,512,22.586099,8,12,OPT
Q_6,64,,,0.0,10,10,FEASIBLE_ESTIMATE
Q_7,128,,,0.0,11,11,FEASIBLE_ESTIMATE
Q_8,256,,,0.0,12,12,FEASIBLE_ESTIMATE
Q_9,512,,,0.0,13,13,FEASIBLE_ESTIMATE
Q_10,1024,,,0.0,14,14,FEASIBLE_ESTIMATE
Q_11,2048,,,0.0,15,15,FEASIBLE_ESTIMATE
Q_12,4096,,,0.0,16,16,FEASIBLE_ESTIMATE
