Graph,n,var,constr,time,lambda,UB,status
C_3,3,7,9,0.063481,4,4,OPT
C_4,4,11,16,0.012199,4,6,OPT
C_5,5,16,25,0.005455,4,4,OPT
C_6,6,19,30,0.011168,4,4,OPT
C_7,7,22,35,0.008581,4,6,OPT
C_8,8,25,40,0.060069,4,4,OPT
C_9,9,28,45,0.005804,4,4,OPT
C_10,10,31,50,0.055131,4,6,OPT
C_11,11,34,55,0.006496,4,4,OPT
C_12,12,37,60,0.048128,4,4,OPT
C_13,13,40,65,0.0078,4,6,OPT
C_14,14,43,70,0.046921,4,4,OPT
C_15,15,46,75,0.004987,4,4,OPT
C_16,16,49,80,0.049457,4,6,OPT
C_17,17,52,85,0.007659,4,4,OPT
C_18,18,55,90,0.070761,4,4,OPT
C_19,19,58,95,0.010249,4,6,OPT
C_20,20,61,100,0.068595,4,4,OPT
C_21,21,64,105,0.005899,4,4,OPT
C_22,22,67,110,0.045624,4,6,OPT
C_23,23,70,115,0.006953,4,4,OPT
C_24,24,73,120,0.053904,4,4,OPT
C_25,25,76,125,0.010452,4,6,OPT
C_26,26,79,130,0.03591,4,4,OPT
C_27,27,82,135,0.010021,4,4,OPT
C_28,28,85,140,0.049145,4,6,OPT
C_29,29,88,145,0.008154,4,4,OPT
C_30,30,91,150,0.030117,4,4,OPT
C_31,31,94,155,0.013616,4,6,OPT
C_32,32,97,160,0.031439,4,4,OPT
C_33,33,100,165,0.010213,4,4,OPT
C_34,34,103,170,0.047247,4,6,OPT
C_35,35,106,175,0.023956,4,4,OPT
C_36,36,109,180,0.051129,4,4,OPT
C_37,37,112,185,0.048978,4,6,OPT
C_38,38,115,190,0.075318,4,4,OPT
C_39,39,118,195,0.014532,4,4,OPT
C_40,40,121,200,0.062864,4,6,OPT
C_41,41,124,205,0.014327,4,4,OPT
C_42,42,127,210,0.04532,4,4,OPT
C_43,43,130,215,0.036382,4,6,OPT
C_44,44,133,220,0.064732,4,4,OPT
C_45,45,136,225,0.027187,4,4,OPT
C_46,46,139,230,0.054778,4,6,OPT
C_47,47,142,235,0.01805,4,4,OPT
C_48,48,145,240,0.051135,4,4,OPT
C_49,49,148,245,0.032128,4,6,OPT
C_50,50,151,250,0.050493,4,4,OPT
K_3,3,7,9,0.001374,4,4,OPT
K_4,4,11,16,0.005301,6,6,OPT
K_5,5,16,25,0.005254,8,8,OPT
K_6,6,22,36,0.004308,10,10,OPT
K_7,7,29,49,0.011084,12,12,OPT
K_8,8,37,64,0.011065,14,14,OPT
K_9,9,46,81,0.015439,16,16,OPT
K_10,10,56,100,0.011523,18,18,OPT
K_11,11,67,121,0.02515,20,20,OPT
K_12,12,79,144,0.026251,22,22,OPT
K_13,13,92,169,0.018887,24,24,OPT
K_14,14,106,196,0.018999,26,26,OPT
K_15,15,121,225,0.023898,28,28,OPT
K_16,16,137,256,0.042868,30,30,OPT
K_17,17,154,289,0.029264,32,32,OPT
K_18,18,172,324,0.050203,34,34,OPT
K_19,19,191,361,0.067477,36,36,OPT
K_20,20,211,400,0.064486,38,38,OPT
K_21,21,232,441,0.043443,40,40,OPT
K_22,22,254,484,0.089111,42,42,OPT
K_23,23,277,529,0.090036,44,44,OPT
K_24,24,301,576,0.089323,46,46,OPT
K_25,25,326,625,0.194207,48,48,OPT
K_26,26,352,676,0.147526,50,50,OPT
K_27,27,379,729,0.075466,52,52,OPT
K_28,28,407,784,0.069256,54,54,OPT
K_29,29,436,841,0.206453,56,56,OPT
K_30,30,466,900,0.198807,58,58,OPT
K_31,31,497,961,0.274539,60,60,OPT
K_32,32,529,1024,0.30144,62,62,OPT
K_33,33,562,1089,0.313015,64,64,OPT
K_34,34,596,1156,0.339884,66,66,OPT
K_35,35,631,1225,0.384693,68,68,OPT
K_36,36,667,1296,0.285025,70,70,OPT
K_37,37,704,1369,0.830506,72,72,OPT
K_38,38,742,1444,0.429954,74,74,OPT
K_39,39,781,1521,0.554788,76,76,OPT
K_40,40,821,1600,0.482873,78,78,OPT
K_41,41,862,1681,0.858942,80,80,OPT
K_42,42,904,1764,0.677487,82,82,OPT
K_43,43,947,1849,0.745669,84,84,OPT
K_44,44,991,1936,0.416516,86,86,OPT
K_45,45,1036,2025,0.749183,88,88,OPT
K_46,46,1082,2116,0.735307,90,90,OPT
K_47,47,1129,2209,0.737291,92,92,OPT
K_48,48,1177,2304,0.699855,94,94,OPT
K_49,49,1226,2401,1.106977,96,96,OPT
K_50,50,1276,2500,0.968149,98,98,OPT
Q_2,4,11,16,0.010493,4,5,OPT
Q_3,8,33,56,0.051413,6,8,OPT
Q_4,16,97,176,0.394976,7,9,OPT
Q_5,32,273,512,3.859586,8,12,OPT
Q_6,64,,,0.0,10,10,FEASIBLE_ESTIMATE
Q_7,128,,,0.0,11,11,FEASIBLE_ESTIMATE
Q_8,256,,,0.0,12,12,FEASIBLE_ESTIMATE
Q_9,512,,,0.0,13,13,FEASIBLE_ESTIMATE
Q_10,1024,,,0.0,14,14,FEASIBLE_ESTIMATE
Q_11,2048,,,0.0,15,15,FEASIBLE_ESTIMATE
Q_12,4096,,,0.0,16,16,FEASIBLE_ESTIMATE
Q_13,8192,,,0.0,17,17,FEASIBLE_ESTIMATE
Q_14,16384,,,0.0,18,18,FEASIBLE_ESTIMATE
