Graph,n,var,clause,time,lambda,UB,status
C_3,3,12,54,0.006711,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_4,4,16,80,0.001009,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_5,5,20,111,0.000786,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_6,6,24,132,0.00128,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_7,7,28,153,0.002465,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_8,8,32,174,0.001253,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_9,9,36,195,0.001162,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_10,10,40,216,0.001674,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_11,11,44,237,0.001887,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_12,12,48,258,0.001444,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_13,13,52,279,0.002979,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_14,14,56,300,0.002647,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_15,15,60,321,0.002424,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_16,16,64,342,0.002859,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_17,17,68,363,0.002202,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_18,18,72,384,0.002229,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_19,19,76,405,0.002187,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_20,20,80,426,0.003657,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_21,21,84,447,0.004678,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_22,22,88,468,0.003973,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_23,23,92,489,0.004294,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_24,24,96,510,0.005519,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_25,25,100,531,0.004889,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_26,26,104,552,0.004391,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_27,27,108,573,0.002992,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_28,28,112,594,0.00401,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_29,29,116,615,0.003569,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_30,30,120,636,0.004349,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_31,31,124,657,0.003559,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
C_32,32,128,678,0.00488,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_33,33,132,699,0.004139,4,B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_34,34,136,720,0.00511,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
