Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
C_3,C,3,3,4,4,1.650569,OPT,0.987597,OPT,OPT,4,root=0+order,12,8,48,28,48,9,33.3333,81.25,"Base,Sym",YES,1,8,9,32,0.00127,7.7e-05,True,1,0,0,0,0.000292,0.0,True
C_4,C,4,4,4,4,0.905326,OPT,0.774223,OPT,OPT,4,root=0+order,16,12,74,50,74,21,25.0,71.6216,"Sym,Base",YES,2,15,23,77,0.001126,9.4e-05,True,2,1,4,14,0.000685,4e-05,True
C_5,C,5,5,4,4,1.07249,OPT,1.077345,OPT,OPT,4,root=0+order,20,16,105,77,105,38,20.0,63.8095,"Base,Sym",YES,1,10,12,51,0.008903,6.9e-05,True,1,0,0,0,0.002067,0.0,True
C_6,C,6,6,4,4,1.085924,OPT,0.799861,OPT,OPT,4,root=0+order,24,20,126,98,126,57,16.6667,54.7619,"Sym,Base",YES,1,10,10,59,0.001347,8.5e-05,True,1,0,0,0,0.001086,0.0,True
C_7,C,7,7,4,4,1.243395,OPT,1.167044,OPT,OPT,4,root=0+order,28,24,147,119,147,77,14.2857,47.619,"Base,Sym",YES,2,15,20,105,0.002064,0.000119,True,2,1,6,26,0.014871,6.2e-05,True
C_8,C,8,8,4,4,0.844433,OPT,1.305995,OPT,OPT,4,root=0+order,32,28,168,140,168,98,12.5,41.6667,"Sym,Base",YES,1,9,10,58,0.0012,6.9e-05,True,1,0,0,0,0.001861,0.0,True
C_9,C,9,9,4,4,0.928635,OPT,0.692773,OPT,OPT,4,root=0+order,36,32,189,161,189,119,11.1111,37.037,"Base,Sym",YES,1,9,10,58,0.002821,0.000114,True,1,0,0,0,0.001462,0.0,True
C_10,C,10,10,4,4,0.677459,OPT,0.721235,OPT,OPT,4,root=0+order,40,36,210,182,210,140,10.0,33.3333,"Sym,Base",YES,2,15,24,138,0.002809,0.000122,True,2,1,8,38,0.003825,5e-05,True
C_11,C,11,11,4,4,0.84064,OPT,0.5101,OPT,OPT,4,root=0+order,44,40,231,203,231,161,9.0909,30.303,"Base,Sym",YES,1,9,9,55,0.002164,0.00011,True,1,0,0,0,0.001222,0.0,True
C_12,C,12,12,4,4,0.659139,OPT,0.576074,OPT,OPT,4,root=0+order,48,44,252,224,252,182,8.3333,27.7778,"Sym,Base",YES,1,9,9,55,0.001473,6.2e-05,True,1,0,0,0,0.001748,0.0,True
C_13,C,13,13,4,4,0.675348,OPT,0.613005,OPT,OPT,4,root=0+order,52,48,273,245,273,203,7.6923,25.641,"Base,Sym",YES,2,12,25,148,0.002675,0.00013,True,2,1,10,50,0.002546,8.6e-05,True
C_14,C,14,14,4,4,0.667415,OPT,0.730841,OPT,OPT,4,root=0+order,56,52,294,266,294,224,7.1429,23.8095,"Sym,Base",YES,1,9,9,55,0.002621,6.3e-05,True,1,0,0,0,0.001304,0.0,True
C_15,C,15,15,4,4,0.751248,OPT,0.964236,OPT,OPT,4,root=0+order,60,56,315,287,315,245,6.6667,22.2222,"Base,Sym",YES,1,9,9,55,0.002659,6.5e-05,True,1,0,0,0,0.009238,0.0,True
C_16,C,16,16,4,4,0.724948,OPT,1.272921,OPT,OPT,4,root=0+order,64,60,336,308,336,266,6.25,20.8333,"Sym,Base",YES,2,12,30,175,0.003952,0.00013,True,2,1,12,62,0.00989,8.2e-05,True
C_17,C,17,17,4,4,0.617625,OPT,0.702306,OPT,OPT,4,root=0+order,68,64,357,329,357,287,5.8824,19.6078,"Base,Sym",YES,1,9,10,58,0.002638,6.5e-05,True,1,0,0,0,0.001696,0.0,True
C_18,C,18,18,4,4,0.689749,OPT,0.855514,OPT,OPT,4,root=0+order,72,68,378,350,378,308,5.5556,18.5185,"Sym,Base",YES,1,9,10,58,0.004297,0.000154,True,1,0,0,0,0.003115,0.0,True
C_19,C,19,19,4,4,0.598602,OPT,0.61816,OPT,OPT,4,root=0+order,76,72,399,371,399,329,5.2632,17.5439,"Base,Sym",YES,2,12,34,199,0.005843,0.000129,True,2,1,14,74,0.003572,6e-05,True
C_20,C,20,20,4,4,0.776898,OPT,0.631623,OPT,OPT,4,root=0+order,80,76,420,392,420,350,5.0,16.6667,"Sym,Base",YES,1,9,10,58,0.002903,6.8e-05,True,1,0,0,0,0.004277,0.0,True
