Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
C_3xC_3,CxC,9,18,8,8,0.490683,OPT,0.603754,OPT,OPT,8,order,72,72,675,684,675,658,0.0,2.5185,"Base,Sym",YES,3,917,1202,11361,0.011169,0.007514,True,2,507,732,6621,0.007777,0.002828,True
C_3xP_3,CxP,9,15,6,6,0.42649,OPT,0.41349,OPT,OPT,6,order,54,54,435,442,435,422,0.0,2.9885,"Sym,Base",YES,3,103,154,1172,0.006739,0.000781,True,3,56,89,658,0.007034,0.000468,True
P_3xP_3,PxP,9,12,6,6,0.426228,OPT,0.41054,OPT,OPT,6,none,54,54,371,371,371,371,0.0,0.0,"Base,Sym",YES,2,91,137,1032,0.004703,0.000505,True,2,91,137,1032,0.003796,0.000446,True
C_3oC_3,CoC,12,21,8,8,0.41889,OPT,0.434819,OPT,OPT,8,order,96,96,771,780,771,746,0.0,3.2425,"Sym,Base",YES,2,804,1180,12366,0.008775,0.004723,True,2,429,651,5994,0.009359,0.00213,True
P_3oP_3,PoP,12,17,6,6,0.421625,OPT,0.421632,OPT,OPT,6,none,72,72,495,495,495,495,0.0,0.0,"Base,Sym",YES,2,97,162,1238,0.007553,0.000549,True,2,97,162,1238,0.006737,0.000683,True
C_3oP_3,CoP,12,18,7,7,0.42815,OPT,0.412486,OPT,OPT,7,order,84,84,636,644,636,610,0.0,4.0881,"Sym,Base",YES,2,254,374,3464,0.007248,0.001427,True,2,128,199,1442,0.007296,0.001015,True
P_3oC_3,PoC,12,20,7,7,0.53885,OPT,0.426055,OPT,OPT,7,none,84,84,616,616,616,616,0.0,0.0,"Base,Sym",YES,2,253,367,2956,0.00748,0.001186,True,2,253,367,2956,0.00728,0.001368,True
C_3xC_4,CxC,12,24,8,8,0.442034,OPT,0.443102,OPT,OPT,8,order,96,96,954,963,954,935,0.0,1.9916,"Sym,Base",YES,3,2009,2594,32000,0.014081,0.014628,True,3,1208,1603,18975,0.014047,0.008193,True
C_3xP_4,CxP,12,21,7,7,0.409622,OPT,0.419236,OPT,OPT,7,order,84,84,726,734,726,714,0.0,1.6529,"Base,Sym",YES,2,286,401,4396,0.008169,0.001794,True,2,325,453,4820,0.009376,0.001844,True
P_3xP_4,PxP,12,17,6,6,0.415486,OPT,0.415634,OPT,OPT,6,none,72,72,537,537,537,537,0.0,0.0,"Sym,Base",YES,3,90,128,1352,0.010089,0.000549,True,3,90,128,1352,0.01103,0.000698,True
