Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
C_3,C,3,3,4,4,0.958376,OPT,0.732011,OPT,OPT,4,root=0+order,12,8,48,28,48,9,33.3333,81.25,"Base,Sym",YES,1,8,9,32,0.00042,9.6e-05,True,1,0,0,0,0.000199,0.0,True
C_4,C,4,4,4,4,0.35998,OPT,0.446427,OPT,OPT,4,root=0+order,16,12,74,50,74,21,25.0,71.6216,"Sym,Base",YES,2,15,23,77,0.001204,0.000101,True,2,1,4,14,0.00062,4e-05,True
C_5,C,5,5,4,4,0.617369,OPT,0.394452,OPT,OPT,4,root=0+order,20,16,105,77,105,38,20.0,63.8095,"Base,Sym",YES,1,10,12,51,0.000868,6.2e-05,True,1,0,0,0,0.000387,0.0,True
C_6,C,6,6,4,4,0.382589,OPT,0.569519,OPT,OPT,4,root=0+order,24,20,126,98,126,57,16.6667,54.7619,"Sym,Base",YES,1,10,10,59,0.000927,6.2e-05,True,1,0,0,0,0.000447,0.0,True
C_7,C,7,7,4,4,0.386129,OPT,0.367258,OPT,OPT,4,root=0+order,28,24,147,119,147,77,14.2857,47.619,"Base,Sym",YES,2,15,20,105,0.001704,0.000102,True,2,1,6,26,0.00149,4.7e-05,True
C_8,C,8,8,4,4,0.535133,OPT,0.414758,OPT,OPT,4,root=0+order,32,28,168,140,168,98,12.5,41.6667,"Sym,Base",YES,1,9,10,58,0.001056,6.1e-05,True,1,0,0,0,0.000647,0.0,True
C_9,C,9,9,4,4,0.395063,OPT,0.374891,OPT,OPT,4,root=0+order,36,32,189,161,189,119,11.1111,37.037,"Base,Sym",YES,1,9,10,58,0.001856,6.4e-05,True,1,0,0,0,0.001013,0.0,True
C_10,C,10,10,4,4,0.370486,OPT,0.372725,OPT,OPT,4,root=0+order,40,36,210,182,210,140,10.0,33.3333,"Sym,Base",YES,2,15,24,138,0.002257,0.000117,True,2,1,8,38,0.001937,5e-05,True
C_11,C,11,11,4,4,0.371245,OPT,0.361997,OPT,OPT,4,root=0+order,44,40,231,203,231,161,9.0909,30.303,"Base,Sym",YES,1,9,9,55,0.001289,6.3e-05,True,1,0,0,0,0.001345,0.0,True
C_12,C,12,12,4,4,0.370745,OPT,0.37164,OPT,OPT,4,root=0+order,48,44,252,224,252,182,8.3333,27.7778,"Sym,Base",YES,1,9,9,55,0.00142,6.5e-05,True,1,0,0,0,0.001192,0.0,True
C_13,C,13,13,4,4,0.393599,OPT,0.538793,OPT,OPT,4,root=0+order,52,48,273,245,273,203,7.6923,25.641,"Base,Sym",YES,2,12,25,148,0.002851,0.000154,True,2,1,10,50,0.002364,5.2e-05,True
C_14,C,14,14,4,4,0.470633,OPT,0.374284,OPT,OPT,4,root=0+order,56,52,294,266,294,224,7.1429,23.8095,"Sym,Base",YES,1,9,9,55,0.001649,6.4e-05,True,1,0,0,0,0.001323,0.0,True
C_15,C,15,15,4,4,0.385649,OPT,0.372772,OPT,OPT,4,root=0+order,60,56,315,287,315,245,6.6667,22.2222,"Base,Sym",YES,1,9,9,55,0.001571,6.4e-05,True,1,0,0,0,0.001349,0.0,True
C_16,C,16,16,4,4,0.360331,OPT,0.38028,OPT,OPT,4,root=0+order,64,60,336,308,336,266,6.25,20.8333,"Sym,Base",YES,2,12,30,175,0.003129,0.000123,True,2,1,12,62,0.002902,5.9e-05,True
C_17,C,17,17,4,4,0.470272,OPT,0.771113,OPT,OPT,4,root=0+order,68,64,357,329,357,287,5.8824,19.6078,"Base,Sym",YES,1,9,10,58,0.001991,6.5e-05,True,1,0,0,0,0.001978,0.0,True
C_18,C,18,18,4,4,0.609322,OPT,0.732723,OPT,OPT,4,root=0+order,72,68,378,350,378,308,5.5556,18.5185,"Sym,Base",YES,1,9,10,58,0.001856,6.4e-05,True,1,0,0,0,0.002103,0.0,True
C_19,C,19,19,4,4,0.471588,OPT,0.533735,OPT,OPT,4,root=0+order,76,72,399,371,399,329,5.2632,17.5439,"Base,Sym",YES,2,12,34,199,0.003803,0.000125,True,2,1,14,74,0.004408,6.9e-05,True
C_20,C,20,20,4,4,0.511873,OPT,0.4881,OPT,OPT,4,root=0+order,80,76,420,392,420,350,5.0,16.6667,"Sym,Base",YES,1,9,10,58,0.002773,9.5e-05,True,1,0,0,0,0.002497,0.0,True
C_21,C,21,21,4,4,0.537399,OPT,0.512123,OPT,OPT,4,root=0+order,84,80,441,413,441,371,4.7619,15.873,"Base,Sym",YES,1,9,9,55,0.002271,6.7e-05,True,1,0,0,0,0.002313,0.0,True
C_22,C,22,22,4,4,0.481281,OPT,0.527341,OPT,OPT,4,root=0+order,88,84,462,434,462,392,4.5455,15.1515,"Sym,Base",YES,2,12,37,220,0.004532,0.00013,True,2,1,16,86,0.007255,7.3e-05,True
C_23,C,23,23,4,4,0.411109,OPT,0.483113,OPT,OPT,4,root=0+order,92,88,483,455,483,413,4.3478,14.4928,"Base,Sym",YES,1,9,9,55,0.002192,6.3e-05,True,1,0,0,0,0.00198,0.0,True
C_24,C,24,24,4,4,0.488264,OPT,0.480436,OPT,OPT,4,root=0+order,96,92,504,476,504,434,4.1667,13.8889,"Sym,Base",YES,1,9,9,55,0.003431,6.6e-05,True,1,0,0,0,0.002043,0.0,True
C_25,C,25,25,4,4,0.452266,OPT,0.572948,OPT,OPT,4,root=0+order,100,96,525,497,525,455,4.0,13.3333,"Base,Sym",YES,2,12,41,244,0.006043,0.000141,True,2,1,18,98,0.006052,7e-05,True
C_26,C,26,26,4,4,0.427034,OPT,1.069765,OPT,OPT,4,root=0+order,104,100,546,518,546,476,3.8462,12.8205,"Sym,Base",YES,1,9,9,55,0.002499,6.3e-05,True,1,0,0,0,0.002724,0.0,True
C_27,C,27,27,4,4,0.456966,OPT,0.395679,OPT,OPT,4,root=0+order,108,104,567,539,567,497,3.7037,12.3457,"Base,Sym",YES,1,9,9,55,0.002693,0.000106,True,1,0,0,0,0.002185,0.0,True
C_28,C,28,28,4,4,0.363674,OPT,0.39042,OPT,OPT,4,root=0+order,112,108,588,560,588,518,3.5714,11.9048,"Sym,Base",YES,2,12,45,268,0.005983,0.000137,True,2,1,20,110,0.005208,7.3e-05,True
C_29,C,29,29,4,4,0.370107,OPT,0.563636,OPT,OPT,4,root=0+order,116,112,609,581,609,539,3.4483,11.4943,"Base,Sym",YES,1,9,9,55,0.002945,6.6e-05,True,1,0,0,0,0.002357,0.0,True
C_30,C,30,30,4,4,0.371574,OPT,0.379841,OPT,OPT,4,root=0+order,120,116,630,602,630,560,3.3333,11.1111,"Sym,Base",YES,1,9,9,55,0.003009,6.5e-05,True,1,0,0,0,0.002425,0.0,True
C_31,C,31,31,4,4,0.383631,OPT,0.373222,OPT,OPT,4,root=0+order,124,120,651,623,651,581,3.2258,10.7527,"Base,Sym",YES,2,12,49,292,0.006247,0.000142,True,2,1,22,122,0.005478,7.2e-05,True
C_32,C,32,32,4,4,0.37391,OPT,0.372722,OPT,OPT,4,root=0+order,128,124,672,644,672,602,3.125,10.4167,"Sym,Base",YES,1,9,10,58,0.003246,7.6e-05,True,1,0,0,0,0.002637,0.0,True
C_33,C,33,33,4,4,0.443643,OPT,0.385616,OPT,OPT,4,root=0+order,132,128,693,665,693,623,3.0303,10.101,"Base,Sym",YES,1,9,10,58,0.003261,7.2e-05,True,1,0,0,0,0.002853,0.0,True
C_34,C,34,34,4,4,0.37915,OPT,0.38706,OPT,OPT,4,root=0+order,136,132,714,686,714,644,2.9412,9.8039,"Sym,Base",YES,2,12,54,319,0.00682,0.00015,True,2,1,24,134,0.006835,7.3e-05,True
C_35,C,35,35,4,4,0.391383,OPT,0.368841,OPT,OPT,4,root=0+order,140,136,735,707,735,665,2.8571,9.5238,"Base,Sym",YES,1,9,10,58,0.003546,7.2e-05,True,1,0,0,0,0.00275,0.0,True
C_36,C,36,36,4,4,0.370781,OPT,0.384129,OPT,OPT,4,root=0+order,144,140,756,728,756,686,2.7778,9.2593,"Sym,Base",YES,1,9,10,58,0.003526,7.3e-05,True,1,0,0,0,0.002841,0.0,True
C_37,C,37,37,4,4,0.405431,OPT,0.370266,OPT,OPT,4,root=0+order,148,144,777,749,777,707,2.7027,9.009,"Base,Sym",YES,2,12,58,343,0.011242,0.000158,True,2,1,26,146,0.006434,8.1e-05,True
C_38,C,38,38,4,4,0.38417,OPT,0.403326,OPT,OPT,4,root=0+order,152,148,798,770,798,728,2.6316,8.7719,"Sym,Base",YES,1,9,10,58,0.003691,6.9e-05,True,1,0,0,0,0.003014,0.0,True
C_39,C,39,39,4,4,0.443748,OPT,0.457016,OPT,OPT,4,root=0+order,156,152,819,791,819,749,2.5641,8.547,"Base,Sym",YES,1,9,10,58,0.003729,6.8e-05,True,1,0,0,0,0.012337,0.0,True
C_40,C,40,40,4,4,0.555529,OPT,0.468023,OPT,OPT,4,root=0+order,160,156,840,812,840,770,2.5,8.3333,"Sym,Base",YES,2,12,62,367,0.016711,0.000974,True,2,1,28,158,0.007418,8.3e-05,True
C_41,C,41,41,4,4,0.493975,OPT,0.39995,OPT,OPT,4,root=0+order,164,160,861,833,861,791,2.439,8.1301,"Base,Sym",YES,1,9,10,58,0.003877,6.7e-05,True,1,0,0,0,0.003284,0.0,True
C_42,C,42,42,4,4,0.57534,OPT,0.453355,OPT,OPT,4,root=0+order,168,164,882,854,882,812,2.381,7.9365,"Sym,Base",YES,1,9,10,58,0.004402,8.3e-05,True,1,0,0,0,0.003978,0.0,True
C_43,C,43,43,4,4,0.751194,OPT,0.921251,OPT,OPT,4,root=0+order,172,168,903,875,903,833,2.3256,7.7519,"Base,Sym",YES,2,12,65,388,0.016943,0.000235,True,2,1,30,170,0.011833,0.000145,True
C_44,C,44,44,4,4,0.549945,OPT,0.992209,OPT,OPT,4,root=0+order,176,172,924,896,924,854,2.2727,7.5758,"Sym,Base",YES,1,9,9,55,0.004174,9e-05,True,1,0,0,0,0.00564,0.0,True
C_45,C,45,45,4,4,0.818613,OPT,0.702428,OPT,OPT,4,root=0+order,180,176,945,917,945,875,2.2222,7.4074,"Base,Sym",YES,1,9,9,55,0.008811,0.000145,True,1,0,0,0,0.003717,0.0,True
C_46,C,46,46,4,4,0.487718,OPT,0.478534,OPT,OPT,4,root=0+order,184,180,966,938,966,896,2.1739,7.2464,"Sym,Base",YES,2,12,69,412,0.009919,0.00045,True,2,1,32,182,0.01231,9e-05,True
C_47,C,47,47,4,4,0.418839,OPT,0.433106,OPT,OPT,4,root=0+order,188,184,987,959,987,917,2.1277,7.0922,"Base,Sym",YES,1,9,9,55,0.004482,6.8e-05,True,1,0,0,0,0.004872,0.0,True
C_48,C,48,48,4,4,0.650266,OPT,0.495031,OPT,OPT,4,root=0+order,192,188,1008,980,1008,938,2.0833,6.9444,"Sym,Base",YES,1,9,9,55,0.009141,8.6e-05,True,1,0,0,0,0.003865,0.0,True
C_49,C,49,49,4,4,0.675639,OPT,0.469,OPT,OPT,4,root=0+order,196,192,1029,1001,1029,959,2.0408,6.8027,"Base,Sym",YES,2,12,73,436,0.012205,0.000224,True,2,1,34,194,0.010251,9.3e-05,True
C_50,C,50,50,4,4,0.653935,OPT,0.695389,OPT,OPT,4,root=0+order,200,196,1050,1022,1050,980,2.0,6.6667,"Sym,Base",YES,1,9,9,55,0.005866,7.9e-05,True,1,0,0,0,0.005789,0.0,True
