Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
C_3xC_3,CxC,9,18,8,8,0.731842,OPT,0.900429,OPT,OPT,8,order,72,72,675,684,675,658,0.0,2.5185,"Base,Sym",YES,3,917,1202,11361,0.018232,0.007294,True,2,507,732,6621,0.012785,0.003731,True
C_3xP_3,CxP,9,15,6,6,0.431147,OPT,0.456564,OPT,OPT,6,order,54,54,435,442,435,422,0.0,2.9885,"Sym,Base",YES,3,103,154,1172,0.006842,0.000593,True,3,56,89,658,0.007556,0.00042,True
P_3xP_3,PxP,9,12,6,6,0.40539,OPT,0.378733,OPT,OPT,6,none,54,54,371,371,371,371,0.0,0.0,"Base,Sym",YES,2,91,137,1032,0.003587,0.00045,True,2,91,137,1032,0.003847,0.000437,True
C_3oC_3,CoC,12,21,8,8,0.387995,OPT,0.400516,OPT,OPT,8,order,96,96,771,780,771,746,0.0,3.2425,"Sym,Base",YES,2,804,1180,12366,0.007874,0.004873,True,2,429,651,5994,0.008597,0.002483,True
P_3oP_3,PoP,12,17,6,6,0.389469,OPT,0.375191,OPT,OPT,6,none,72,72,495,495,495,495,0.0,0.0,"Base,Sym",YES,2,97,162,1238,0.006051,0.000553,True,2,97,162,1238,0.00605,0.000576,True
C_3oP_3,CoP,12,18,7,7,0.37922,OPT,0.388147,OPT,OPT,7,order,84,84,636,644,636,610,0.0,4.0881,"Sym,Base",YES,2,254,374,3464,0.006726,0.001336,True,2,128,199,1442,0.006978,0.000781,True
P_3oC_3,PoC,12,20,7,7,0.389749,OPT,0.383236,OPT,OPT,7,none,84,84,616,616,616,616,0.0,0.0,"Base,Sym",YES,2,253,367,2956,0.00648,0.00119,True,2,253,367,2956,0.006492,0.001244,True
C_3xC_4,CxC,12,24,8,8,0.39747,OPT,0.407604,OPT,OPT,8,order,96,96,954,963,954,935,0.0,1.9916,"Sym,Base",YES,3,2009,2594,32000,0.01268,0.013674,True,3,1208,1603,18975,0.01407,0.0079,True
C_3xP_4,CxP,12,21,7,7,0.400177,OPT,0.378961,OPT,OPT,7,order,84,84,726,734,726,714,0.0,1.6529,"Base,Sym",YES,2,286,401,4396,0.007899,0.001634,True,2,325,453,4820,0.008086,0.001838,True
P_3xP_4,PxP,12,17,6,6,0.4286,OPT,0.386388,OPT,OPT,6,none,72,72,537,537,537,537,0.0,0.0,"Sym,Base",YES,3,90,128,1352,0.009902,0.000616,True,3,90,128,1352,0.008501,0.000552,True
