Graph,Family,V,E,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct
C_3xC_3,CxC,9,18,8,root=0+order,72,64,675,553,675,425,11.1111,37.037
C_3xP_3,CxP,9,15,6,order,54,54,435,442,435,422,0.0,2.9885
P_3xP_3,PxP,9,12,6,none,54,54,371,371,371,371,0.0,0.0
C_3oC_3,CoC,12,21,8,order,96,96,771,780,771,746,0.0,3.2425
P_3oP_3,PoP,12,17,6,none,72,72,495,495,495,495,0.0,0.0
C_3oP_3,CoP,12,18,7,order,84,84,636,644,636,610,0.0,4.0881
P_3oC_3,PoC,12,20,7,none,84,84,616,616,616,616,0.0,0.0
C_3xC_4,CxC,12,24,8,root=0+order,96,88,954,824,954,669,8.3333,29.8742
C_3xP_4,CxP,12,21,7,order,84,84,726,734,726,714,0.0,1.6529
P_3xP_4,PxP,12,17,6,none,72,72,537,537,537,537,0.0,0.0
C_3oC_4,CoC,15,27,8,order,120,120,1050,1059,1050,1017,0.0,3.1429
P_3oP_4,PoP,15,23,7,none,105,105,804,804,804,804,0.0,0.0
C_3oP_4,CoP,15,24,8,order,120,120,1002,1011,1002,969,0.0,3.2934
P_3oC_4,PoC,15,26,7,none,105,105,846,846,846,846,0.0,0.0
C_3xC_5,CxC,15,30,8,root=0+order,120,112,1260,1122,1260,941,6.6667,25.3175
C_3xP_5,CxP,15,27,7,order,105,105,948,956,948,936,0.0,1.2658
P_3xP_5,PxP,15,22,6,none,90,90,703,703,703,703,0.0,0.0
C_3oC_5,CoC,18,33,9,order,162,162,1518,1528,1518,1478,0.0,2.635
P_3oP_5,PoP,18,29,8,none,144,144,1202,1202,1202,1202,0.0,0.0
C_3oP_5,CoP,18,30,9,order,162,162,1464,1474,1464,1424,0.0,2.7322
P_3oC_5,PoC,18,32,8,none,144,144,1250,1250,1250,1250,0.0,0.0
C_3xC_6,CxC,18,36,7,root=0+order,126,119,1332,1212,1332,1029,5.5556,22.7477
C_3xP_6,CxP,18,33,7,order,126,126,1170,1178,1170,1158,0.0,1.0256
P_3xP_6,PxP,18,27,6,none,108,108,869,869,869,869,0.0,0.0
C_3oC_6,CoC,21,39,10,order,210,210,2091,2102,2091,2044,0.0,2.2477
P_3oP_6,PoP,21,35,9,none,189,189,1698,1698,1698,1698,0.0,0.0
C_3oP_6,CoP,21,36,10,order,210,210,2031,2042,2031,1984,0.0,2.3141
P_3oC_6,PoC,21,38,9,none,189,189,1752,1752,1752,1752,0.0,0.0
C_3xC_7,CxC,21,42,8,root=0+order,168,160,1764,1626,1764,1442,4.7619,18.254
C_3xP_7,CxP,21,39,7,order,147,147,1392,1400,1392,1380,0.0,0.8621
P_3xP_7,PxP,21,32,6,none,126,126,1035,1035,1035,1035,0.0,0.0
C_3oC_7,CoC,24,45,11,order,264,264,2778,2790,2778,2724,0.0,1.9438
P_3oP_7,PoP,24,41,10,none,240,240,2301,2301,2301,2301,0.0,0.0
C_3oP_7,CoP,24,42,11,order,264,264,2712,2724,2712,2658,0.0,1.9912
P_3oC_7,PoC,24,44,10,none,240,240,2361,2361,2361,2361,0.0,0.0
C_3xC_8,CxC,24,48,7,root=0+order,168,161,1776,1656,1776,1472,4.1667,17.1171
C_3xP_8,CxP,24,45,7,order,168,168,1614,1622,1614,1602,0.0,0.7435
P_3xP_8,PxP,24,37,6,none,144,144,1201,1201,1201,1201,0.0,0.0
C_3oC_8,CoC,27,51,12,order,324,324,3588,3601,3588,3527,0.0,1.7001
P_3oP_8,PoP,27,47,11,none,297,297,3020,3020,3020,3020,0.0,0.0
C_3oP_8,CoP,27,48,12,order,324,324,3516,3529,3516,3455,0.0,1.7349
P_3oC_8,PoC,27,50,11,none,297,297,3086,3086,3086,3086,0.0,0.0
C_3xC_9,CxC,27,54,8,root=0+order,216,208,2268,2130,2268,1946,3.7037,14.1975
C_3xP_9,CxP,27,51,7,order,189,189,1836,1844,1836,1824,0.0,0.6536
P_3xP_9,PxP,27,42,6,none,162,162,1367,1367,1367,1367,0.0,0.0
C_3oC_9,CoC,30,57,13,order,390,390,4530,4544,4530,4462,0.0,1.5011
P_3oP_9,PoP,30,53,12,none,360,360,3864,3864,3864,3864,0.0,0.0
C_3oP_9,CoP,30,54,13,order,390,390,4452,4466,4452,4384,0.0,1.5274
P_3oC_9,PoC,30,56,12,none,360,360,3936,3936,3936,3936,0.0,0.0
C_3xC_10,CxC,30,60,8,root=0+order,240,232,2520,2382,2520,2198,3.3333,12.7778
C_3xP_10,CxP,30,57,7,order,210,210,2058,2066,2058,2046,0.0,0.5831
P_3xP_10,PxP,30,47,6,none,180,180,1533,1533,1533,1533,0.0,0.0
C_3oC_10,CoC,33,63,14,order,462,462,5613,5628,5613,5538,0.0,1.3362
P_3oP_10,PoP,33,59,13,none,429,429,4842,4842,4842,4842,0.0,0.0
C_3oP_10,CoP,33,60,14,order,462,462,5529,5544,5529,5454,0.0,1.3565
P_3oC_10,PoC,33,62,13,none,429,429,4920,4920,4920,4920,0.0,0.0
C_4xC_3,CxC,12,24,8,root=0+order,96,88,954,824,954,668,8.3333,29.979
C_4xP_3,CxP,12,20,7,order,84,84,720,728,720,706,0.0,1.9444
P_4xP_3,PxP,12,17,6,none,72,72,537,537,537,537,0.0,0.0
C_4oC_3,CoC,16,28,7,order,112,112,920,928,920,892,0.0,3.0435
P_4oP_3,PoP,16,23,6,none,96,96,685,685,685,685,0.0,0.0
C_4oP_3,CoP,16,24,7,order,112,112,864,872,864,836,0.0,3.2407
P_4oC_3,PoC,16,27,7,none,112,112,850,850,850,850,0.0,0.0
C_4xC_4,CxC,16,32,7,root=0+order,112,105,1184,1064,1184,881,6.25,25.5912
C_4xP_4,CxP,16,28,7,order,112,112,1032,1040,1032,1018,0.0,1.3566
P_4xP_4,PxP,16,24,6,none,96,96,774,774,774,774,0.0,0.0
C_4oC_4,CoC,20,36,8,order,160,160,1418,1427,1418,1383,0.0,2.4683
P_4oP_4,PoP,20,31,7,none,140,140,1106,1106,1106,1106,0.0,0.0
C_4oP_4,CoP,20,32,8,order,160,160,1354,1363,1354,1319,0.0,2.5849
P_4oC_4,PoC,20,35,7,none,140,140,1162,1162,1162,1162,0.0,0.0
C_4xC_5,CxC,20,40,7,root=0+order,140,133,1560,1433,1560,1222,5.0,21.6667
C_4xP_5,CxP,20,36,7,order,140,140,1344,1352,1344,1330,0.0,1.0417
P_4xP_5,PxP,20,31,6,none,120,120,1011,1011,1011,1011,0.0,0.0
C_4oC_5,CoC,24,44,9,order,216,216,2044,2054,2044,2002,0.0,2.0548
P_4oP_5,PoP,24,39,8,none,192,192,1647,1647,1647,1647,0.0,0.0
C_4oP_5,CoP,24,40,9,order,216,216,1972,1982,1972,1930,0.0,2.1298
P_4oC_5,PoC,24,43,8,none,192,192,1711,1711,1711,1711,0.0,0.0
C_4xC_6,CxC,24,48,7,root=0+order,168,161,1872,1745,1872,1532,4.1667,18.1624
C_4xP_6,CxP,24,44,7,order,168,168,1656,1664,1656,1642,0.0,0.8454
P_4xP_6,PxP,24,38,6,none,144,144,1248,1248,1248,1248,0.0,0.0
C_4oC_6,CoC,28,52,10,order,280,280,2810,2821,2810,2761,0.0,1.7438
P_4oP_6,PoP,28,47,9,none,252,252,2320,2320,2320,2320,0.0,0.0
C_4oP_6,CoP,28,48,10,order,280,280,2730,2741,2730,2681,0.0,1.7949
P_4oC_6,PoC,28,51,9,none,252,252,2392,2392,2392,2392,0.0,0.0
C_4xC_7,CxC,28,56,7,root=0+order,196,189,2184,2057,2184,1843,3.5714,15.6136
C_4xP_7,CxP,28,52,7,order,196,196,1968,1976,1968,1954,0.0,0.7114
P_4xP_7,PxP,28,45,6,none,168,168,1485,1485,1485,1485,0.0,0.0
C_4oC_7,CoC,32,60,11,order,352,352,3728,3740,3728,3672,0.0,1.5021
P_4oP_7,PoP,32,55,10,none,320,320,3137,3137,3137,3137,0.0,0.0
C_4oP_7,CoP,32,56,11,order,352,352,3640,3652,3640,3584,0.0,1.5385
P_4oC_7,PoC,32,59,10,none,320,320,3217,3217,3217,3217,0.0,0.0
C_4xC_8,CxC,32,64,7,root=0+order,224,217,2496,2369,2496,2155,3.125,13.6619
C_4xP_8,CxP,32,60,7,order,224,224,2280,2288,2280,2266,0.0,0.614
P_4xP_8,PxP,32,52,6,none,192,192,1722,1722,1722,1722,0.0,0.0
C_4oC_8,CoC,36,68,12,order,432,432,4810,4823,4810,4747,0.0,1.3098
P_4oP_8,PoP,36,63,11,none,396,396,4110,4110,4110,4110,0.0,0.0
C_4oP_8,CoP,36,64,12,order,432,432,4714,4727,4714,4651,0.0,1.3364
P_4oC_8,PoC,36,67,11,none,396,396,4198,4198,4198,4198,0.0,0.0
C_4xC_9,CxC,36,72,7,root=0+order,252,245,2808,2681,2808,2467,2.7778,12.1439
C_4xP_9,CxP,36,68,7,order,252,252,2592,2600,2592,2578,0.0,0.5401
P_4xP_9,PxP,36,59,6,none,216,216,1959,1959,1959,1959,0.0,0.0
C_4oC_9,CoC,40,76,13,order,520,520,6068,6082,6068,5998,0.0,1.1536
P_4oP_9,PoP,40,71,12,none,480,480,5251,5251,5251,5251,0.0,0.0
C_4oP_9,CoP,40,72,13,order,520,520,5964,5978,5964,5894,0.0,1.1737
P_4oC_9,PoC,40,75,12,none,480,480,5347,5347,5347,5347,0.0,0.0
C_4xC_10,CxC,40,80,7,root=0+order,280,273,3120,2993,3120,2779,2.5,10.9295
C_4xP_10,CxP,40,76,7,order,280,280,2904,2912,2904,2890,0.0,0.4821
P_4xP_10,PxP,40,66,6,none,240,240,2196,2196,2196,2196,0.0,0.0
