Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent
C_3xC_3,CxC,9,18,8,8,0.554021,OPT,0.4309,OPT,OPT,8,root=0+order,72,64,675,553,675,425,11.1111,37.037,"Base,Sym",YES
C_3xP_3,CxP,9,15,6,6,0.541597,OPT,0.579158,OPT,OPT,6,order,54,54,435,442,435,422,0.0,2.9885,"Sym,Base",YES
P_3xP_3,PxP,9,12,6,6,0.451584,OPT,0.423997,OPT,OPT,6,none,54,54,371,371,371,371,0.0,0.0,"Base,Sym",YES
C_3oC_3,CoC,12,21,8,8,0.422914,OPT,0.455419,OPT,OPT,8,order,96,96,771,780,771,746,0.0,3.2425,"Sym,Base",YES
P_3oP_3,PoP,12,17,6,6,0.427646,OPT,0.424698,OPT,OPT,6,none,72,72,495,495,495,495,0.0,0.0,"Base,Sym",YES
C_3oP_3,CoP,12,18,7,7,0.59896,OPT,0.464326,OPT,OPT,7,order,84,84,636,644,636,610,0.0,4.0881,"Sym,Base",YES
P_3oC_3,PoC,12,20,7,7,0.428059,OPT,0.521282,OPT,OPT,7,none,84,84,616,616,616,616,0.0,0.0,"Base,Sym",YES
C_3xC_4,CxC,12,24,8,8,0.448824,OPT,0.439814,OPT,OPT,8,root=0+order,96,88,954,824,954,669,8.3333,29.8742,"Sym,Base",YES
C_3xP_4,CxP,12,21,7,7,0.434946,OPT,0.513482,OPT,OPT,7,order,84,84,726,734,726,714,0.0,1.6529,"Base,Sym",YES
P_3xP_4,PxP,12,17,6,6,0.648029,OPT,0.451556,OPT,OPT,6,none,72,72,537,537,537,537,0.0,0.0,"Sym,Base",YES
C_3oC_4,CoC,15,27,8,8,0.590399,OPT,0.482817,OPT,OPT,8,order,120,120,1050,1059,1050,1017,0.0,3.1429,"Base,Sym",YES
P_3oP_4,PoP,15,23,7,7,0.445505,OPT,0.461547,OPT,OPT,7,none,105,105,804,804,804,804,0.0,0.0,"Sym,Base",YES
C_3oP_4,CoP,15,24,8,8,0.458367,OPT,0.448584,OPT,OPT,8,order,120,120,1002,1011,1002,969,0.0,3.2934,"Base,Sym",YES
P_3oC_4,PoC,15,26,7,7,0.633765,OPT,0.462585,OPT,OPT,7,none,105,105,846,846,846,846,0.0,0.0,"Sym,Base",YES
C_4xC_3,CxC,12,24,8,8,0.532911,OPT,0.562523,OPT,OPT,8,root=0+order,96,88,954,824,954,668,8.3333,29.979,"Base,Sym",YES
C_4xP_3,CxP,12,20,7,7,0.431113,OPT,0.739437,OPT,OPT,7,order,84,84,720,728,720,706,0.0,1.9444,"Sym,Base",YES
P_4xP_3,PxP,12,17,6,6,0.436805,OPT,0.467368,OPT,OPT,6,none,72,72,537,537,537,537,0.0,0.0,"Base,Sym",YES
C_4oC_3,CoC,16,28,7,7,0.422618,OPT,0.44885,OPT,OPT,7,order,112,112,920,928,920,892,0.0,3.0435,"Sym,Base",YES
P_4oP_3,PoP,16,23,6,6,0.437404,OPT,0.434534,OPT,OPT,6,none,96,96,685,685,685,685,0.0,0.0,"Base,Sym",YES
C_4oP_3,CoP,16,24,7,7,0.442663,OPT,0.453451,OPT,OPT,7,order,112,112,864,872,864,836,0.0,3.2407,"Sym,Base",YES
P_4oC_3,PoC,16,27,7,7,0.440824,OPT,0.432129,OPT,OPT,7,none,112,112,850,850,850,850,0.0,0.0,"Base,Sym",YES
C_4xC_4,CxC,16,32,7,7,0.462163,OPT,0.448734,OPT,OPT,7,root=0+order,112,105,1184,1064,1184,881,6.25,25.5912,"Sym,Base",YES
C_4xP_4,CxP,16,28,7,7,0.432805,OPT,0.533019,OPT,OPT,7,order,112,112,1032,1040,1032,1018,0.0,1.3566,"Base,Sym",YES
P_4xP_4,PxP,16,24,6,6,0.447523,OPT,0.432688,OPT,OPT,6,none,96,96,774,774,774,774,0.0,0.0,"Sym,Base",YES
C_4oC_4,CoC,20,36,8,8,0.478401,OPT,0.562663,OPT,OPT,8,order,160,160,1418,1427,1418,1383,0.0,2.4683,"Base,Sym",YES
P_4oP_4,PoP,20,31,7,7,0.440407,OPT,0.474756,OPT,OPT,7,none,140,140,1106,1106,1106,1106,0.0,0.0,"Sym,Base",YES
C_4oP_4,CoP,20,32,8,8,0.465469,OPT,0.452624,OPT,OPT,8,order,160,160,1354,1363,1354,1319,0.0,2.5849,"Base,Sym",YES
P_4oC_4,PoC,20,35,7,7,0.455696,OPT,0.459737,OPT,OPT,7,none,140,140,1162,1162,1162,1162,0.0,0.0,"Sym,Base",YES
