Graph,V,E,lambda_Base,lambda_Sym,Var_Base,Clause_Base,Time_Base,Status_Base,Var_Sym,Clause_Sym,Time_Sym,Status_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent
C_3xC_3,9,18,8,8,72,675,1.000361,OPT,64,553,0.731864,OPT,11.1111,18.0741,"Base,Sym",YES
C_3xP_3,9,15,6,6,54,435,0.380033,OPT,54,442,0.474112,OPT,0.0,-1.6092,"Sym,Base",YES
P_3xP_3,9,12,6,6,54,371,0.390335,OPT,54,371,0.440394,OPT,0.0,0.0,"Base,Sym",YES
C_3oC_3,12,21,8,8,96,771,0.396071,OPT,96,780,0.510054,OPT,0.0,-1.1673,"Sym,Base",YES
P_3oP_3,12,17,6,6,72,495,0.442092,OPT,72,495,0.375285,OPT,0.0,0.0,"Base,Sym",YES
C_3oP_3,12,18,7,7,84,636,0.377028,OPT,84,644,0.401571,OPT,0.0,-1.2579,"Sym,Base",YES
P_3oC_3,12,20,7,7,84,616,0.41689,OPT,84,616,0.584955,OPT,0.0,0.0,"Base,Sym",YES
C_3xC_4,12,24,8,8,96,954,0.515836,OPT,88,824,0.488434,OPT,8.3333,13.6268,"Sym,Base",YES
C_3xP_4,12,21,7,7,84,726,0.502095,OPT,84,734,0.480728,OPT,0.0,-1.1019,"Base,Sym",YES
P_3xP_4,12,17,6,6,72,537,0.644304,OPT,72,537,0.557113,OPT,0.0,0.0,"Sym,Base",YES
C_3oC_4,15,27,8,8,120,1050,0.738424,OPT,120,1059,0.525307,OPT,0.0,-0.8571,"Base,Sym",YES
P_3oP_4,15,23,7,7,105,804,0.686344,OPT,105,804,0.514808,OPT,0.0,0.0,"Sym,Base",YES
C_3oP_4,15,24,8,8,120,1002,0.450739,OPT,120,1011,0.532274,OPT,0.0,-0.8982,"Base,Sym",YES
P_3oC_4,15,26,7,7,105,846,0.369901,OPT,105,846,0.42199,OPT,0.0,0.0,"Sym,Base",YES
C_3xC_5,15,30,8,8,120,1260,0.409434,OPT,112,1122,0.369492,OPT,6.6667,10.9524,"Base,Sym",YES
C_3xP_5,15,27,7,7,105,948,0.369479,OPT,105,956,0.382716,OPT,0.0,-0.8439,"Sym,Base",YES
P_3xP_5,15,22,6,6,90,703,0.587616,OPT,90,703,0.46774,OPT,0.0,0.0,"Base,Sym",YES
C_3oC_5,18,33,9,9,162,1518,0.604975,OPT,162,1528,0.452359,OPT,0.0,-0.6588,"Sym,Base",YES
P_3oP_5,18,29,8,8,144,1202,0.532595,OPT,144,1202,0.459507,OPT,0.0,0.0,"Base,Sym",YES
C_3oP_5,18,30,9,9,162,1464,0.424482,OPT,162,1474,0.561372,OPT,0.0,-0.6831,"Sym,Base",YES
P_3oC_5,18,32,8,8,144,1250,0.422704,OPT,144,1250,0.380968,OPT,0.0,0.0,"Base,Sym",YES
C_3xC_6,18,36,7,7,126,1332,0.55114,OPT,119,1212,0.431514,OPT,5.5556,9.009,"Sym,Base",YES
C_3xP_6,18,33,7,7,126,1170,0.508825,OPT,126,1178,0.516708,OPT,0.0,-0.6838,"Base,Sym",YES
P_3xP_6,18,27,6,6,108,869,0.517405,OPT,108,869,0.541938,OPT,0.0,0.0,"Sym,Base",YES
C_3oC_6,21,39,10,10,,,0.581666,OPT,,,0.562304,OPT,,,"Base,Sym",YES
P_3oP_6,21,35,9,9,189,1698,0.467551,OPT,189,1698,0.440229,OPT,0.0,0.0,"Sym,Base",YES
C_3oP_6,21,36,10,10,,,0.533025,OPT,,,0.795338,OPT,,,"Base,Sym",YES
P_3oC_6,21,38,9,9,189,1752,0.474341,OPT,189,1752,0.500193,OPT,0.0,0.0,"Sym,Base",YES
C_3xC_7,21,42,8,8,168,1764,0.533458,OPT,160,1626,0.461551,OPT,4.7619,7.8231,"Base,Sym",YES
C_3xP_7,21,39,7,7,147,1392,0.446174,OPT,147,1400,0.412815,OPT,0.0,-0.5747,"Sym,Base",YES
P_3xP_7,21,32,6,6,126,1035,0.409996,OPT,126,1035,0.545856,OPT,0.0,0.0,"Base,Sym",YES
C_3oC_7,24,45,11,11,264,2778,1.590447,OPT,264,2790,0.837371,OPT,0.0,-0.432,"Sym,Base",YES
P_3oP_7,24,41,10,10,240,2301,0.526735,OPT,240,2301,0.495679,OPT,0.0,0.0,"Base,Sym",YES
C_3oP_7,24,42,11,11,264,2712,1.147962,OPT,264,2724,0.815654,OPT,0.0,-0.4425,"Sym,Base",YES
P_3oC_7,24,44,10,10,240,2361,0.472602,OPT,240,2361,0.795603,OPT,0.0,0.0,"Base,Sym",YES
C_3xC_8,24,48,7,7,168,1776,0.490068,OPT,161,1656,0.62353,OPT,4.1667,6.7568,"Sym,Base",YES
