Graph,n,var,clause/constr,time,lambda,UB,status
C_3,3,12,54,0.002996,4,4,OPT
C_4,4,16,80,0.000717,4,6,OPT
C_5,5,20,111,0.000661,4,4,OPT
C_6,6,24,132,0.000773,4,4,OPT
C_7,7,28,153,0.000907,4,6,OPT
C_8,8,32,174,0.002441,4,4,OPT
C_9,9,36,195,0.001756,4,4,OPT
C_10,10,40,216,0.001803,4,6,OPT
C_11,11,44,237,0.006586,4,4,OPT
C_12,12,48,258,0.002269,4,4,OPT
C_13,13,52,279,0.002381,4,6,OPT
C_14,14,56,300,0.009314,4,4,OPT
C_15,15,60,321,0.003562,4,4,OPT
C_16,16,64,342,0.005137,4,6,OPT
C_17,17,68,363,0.009655,4,4,OPT
C_18,18,72,384,0.00484,4,4,OPT
C_19,19,76,405,0.006597,4,6,OPT
C_20,20,80,426,0.006743,4,4,OPT
C_21,21,84,447,0.00331,4,4,OPT
C_22,22,88,468,0.003139,4,6,OPT
C_23,23,92,489,0.006068,4,4,OPT
C_24,24,96,510,0.00233,4,4,OPT
C_25,25,100,531,0.004374,4,6,OPT
C_26,26,104,552,0.006112,4,4,OPT
C_27,27,108,573,0.003415,4,4,OPT
C_28,28,112,594,0.007706,4,6,OPT
C_29,29,116,615,0.002698,4,4,OPT
C_30,30,120,636,0.004654,4,4,OPT
C_31,31,124,657,0.011287,4,6,OPT
C_32,32,128,678,0.003732,4,4,OPT
C_33,33,132,699,0.080853,4,4,OPT
C_34,34,136,720,0.005102,4,6,OPT
C_35,35,140,741,0.006966,4,4,OPT
C_36,36,144,762,0.006933,4,4,OPT
C_37,37,148,783,0.004915,4,6,OPT
C_38,38,152,804,0.004711,4,4,OPT
C_39,39,156,825,0.014163,4,4,OPT
C_40,40,160,846,0.00564,4,6,OPT
C_41,41,164,867,0.006915,4,4,OPT
C_42,42,168,888,0.008233,4,4,OPT
C_43,43,172,909,0.006234,4,6,OPT
C_44,44,176,930,0.00955,4,4,OPT
C_45,45,180,951,0.005108,4,4,OPT
C_46,46,184,972,0.008581,4,6,OPT
C_47,47,188,993,0.008165,4,4,OPT
C_48,48,192,1014,0.008833,4,4,OPT
C_49,49,196,1035,0.008624,4,6,OPT
C_50,50,200,1056,0.008846,4,4,OPT
K_3,3,12,59,0.000561,4,4,OPT
K_4,4,24,156,0.000989,6,6,OPT
K_5,5,40,322,0.004961,8,8,OPT
K_6,6,60,575,0.006146,10,10,OPT
K_7,7,84,933,0.036873,12,12,OPT
K_8,8,112,1414,0.021501,14,14,OPT
K_9,9,144,2036,0.041203,16,16,OPT
K_10,10,180,2817,0.060481,18,18,OPT
K_11,11,220,3775,0.115239,20,20,OPT
K_12,12,264,4928,0.083062,22,22,OPT
K_13,13,312,6294,0.116721,24,24,OPT
K_14,14,364,7891,0.123239,26,26,OPT
K_15,15,420,9737,0.126049,28,28,OPT
K_16,16,480,11850,0.160288,30,30,OPT
K_17,17,544,14248,0.268984,32,32,OPT
K_18,18,612,16949,0.197605,34,34,OPT
K_19,19,684,19971,0.231437,36,36,OPT
K_20,20,760,23332,0.209801,38,38,OPT
K_21,21,840,27050,0.225828,40,40,OPT
K_22,22,924,31143,0.262412,42,42,OPT
K_23,23,1012,35629,0.348938,44,44,OPT
K_24,24,1104,40526,0.430432,46,46,OPT
K_25,25,1200,45852,0.476253,48,48,OPT
K_26,26,1300,51625,0.523378,50,50,OPT
K_27,27,1404,57863,0.585834,52,52,OPT
K_28,28,1512,64584,0.625809,54,54,OPT
K_29,29,1624,71806,0.709797,56,56,OPT
K_30,30,1740,79547,1.054456,58,58,OPT
K_31,31,1860,87825,0.866086,60,60,OPT
K_32,32,1984,96658,1.031816,62,62,OPT
K_33,33,2112,106064,1.066513,64,64,OPT
K_34,34,2244,116061,1.162759,66,66,OPT
K_35,35,2380,126667,1.778681,68,68,OPT
K_36,36,2520,137900,1.612841,70,70,OPT
K_37,37,2664,149778,2.687389,72,72,OPT
K_38,38,2812,162319,2.111419,74,74,OPT
K_39,39,2964,175541,1.974299,76,76,OPT
K_40,40,3120,189462,2.060063,78,78,OPT
K_41,41,3280,204100,2.372181,80,80,OPT
K_42,42,3444,219473,2.475713,82,82,OPT
K_43,43,3612,235599,2.462299,84,84,OPT
K_44,44,3784,252496,2.88119,86,86,OPT
K_45,45,3960,270182,3.552755,88,88,OPT
K_46,46,4140,288675,3.717559,90,90,OPT
K_47,47,4324,307993,3.172882,92,92,OPT
K_48,48,4512,328154,3.514316,94,94,OPT
K_49,49,4704,349176,3.847049,96,96,OPT
K_50,50,4900,371077,3.958473,98,98,OPT
