Graph,n,var,clause/constr,time,lambda,UB,status
C_3,3,12,54,0.002439,4,4,OPT
C_4,4,16,80,0.000607,4,6,OPT
C_5,5,20,111,0.026478,4,4,OPT
C_6,6,24,132,0.001084,4,4,OPT
C_7,7,28,153,0.001202,4,6,OPT
C_8,8,32,174,0.001549,4,4,OPT
C_9,9,36,195,0.000927,4,4,OPT
C_10,10,40,216,0.001791,4,6,OPT
C_11,11,44,237,0.002352,4,4,OPT
C_12,12,48,258,0.001901,4,4,OPT
C_13,13,52,279,0.010291,4,6,OPT
C_14,14,56,300,0.002236,4,4,OPT
C_15,15,60,321,0.008056,4,4,OPT
C_16,16,64,342,0.002483,4,6,OPT
C_17,17,68,363,0.004312,4,4,OPT
C_18,18,72,384,0.006836,4,4,OPT
C_19,19,76,405,0.004715,4,6,OPT
C_20,20,80,426,0.002961,4,4,OPT
C_21,21,84,447,0.00258,4,4,OPT
C_22,22,88,468,0.003331,4,6,OPT
C_23,23,92,489,0.004896,4,4,OPT
C_24,24,96,510,0.003756,4,4,OPT
C_25,25,100,531,0.002391,4,6,OPT
C_26,26,104,552,0.002501,4,4,OPT
C_27,27,108,573,0.005096,4,4,OPT
C_28,28,112,594,0.002506,4,6,OPT
C_29,29,116,615,0.004402,4,4,OPT
C_30,30,120,636,0.003345,4,4,OPT
C_31,31,124,657,0.002736,4,6,OPT
C_32,32,128,678,0.003293,4,4,OPT
C_33,33,132,699,0.004992,4,4,OPT
C_34,34,136,720,0.00302,4,6,OPT
C_35,35,140,741,0.006734,4,4,OPT
C_36,36,144,762,0.00539,4,4,OPT
C_37,37,148,783,0.005208,4,6,OPT
C_38,38,152,804,0.005102,4,4,OPT
C_39,39,156,825,0.004744,4,4,OPT
C_40,40,160,846,0.003649,4,6,OPT
C_41,41,164,867,0.005026,4,4,OPT
C_42,42,168,888,0.004306,4,4,OPT
C_43,43,172,909,0.009958,4,6,OPT
C_44,44,176,930,0.007283,4,4,OPT
C_45,45,180,951,0.011365,4,4,OPT
C_46,46,184,972,0.010951,4,6,OPT
C_47,47,188,993,0.02616,4,4,OPT
C_48,48,192,1014,0.012156,4,4,OPT
C_49,49,196,1035,0.007756,4,6,OPT
C_50,50,200,1056,0.015919,4,4,OPT
K_3,3,12,59,0.000397,4,4,OPT
K_4,4,24,156,0.005421,6,6,OPT
K_5,5,40,322,0.005442,8,8,OPT
K_6,6,60,575,0.007297,10,10,OPT
K_7,7,84,933,0.028463,12,12,OPT
K_8,8,112,1414,0.046606,14,14,OPT
K_9,9,144,2036,0.025629,16,16,OPT
K_10,10,180,2817,0.035445,18,18,OPT
K_11,11,220,3775,0.043065,20,20,OPT
K_12,12,264,4928,0.056097,22,22,OPT
K_13,13,312,6294,0.06501,24,24,OPT
K_14,14,364,7891,0.135464,26,26,OPT
K_15,15,420,9737,0.078154,28,28,OPT
K_16,16,480,11850,0.085693,30,30,OPT
K_17,17,544,14248,0.122809,32,32,OPT
K_18,18,612,16949,0.139781,34,34,OPT
K_19,19,684,19971,0.157674,36,36,OPT
K_20,20,760,23332,0.195486,38,38,OPT
K_21,21,840,27050,0.213751,40,40,OPT
K_22,22,924,31143,0.258911,42,42,OPT
K_23,23,1012,35629,0.296909,44,44,OPT
K_24,24,1104,40526,0.333583,46,46,OPT
K_25,25,1200,45852,0.375027,48,48,OPT
K_26,26,1300,51625,0.420088,50,50,OPT
K_27,27,1404,57863,0.473466,52,52,OPT
K_28,28,1512,64584,0.525659,54,54,OPT
K_29,29,1624,71806,0.591637,56,56,OPT
K_30,30,1740,79547,0.80953,58,58,OPT
K_31,31,1860,87825,0.716578,60,60,OPT
K_32,32,1984,96658,0.799281,62,62,OPT
K_33,33,2112,106064,1.374666,64,64,OPT
K_34,34,2244,116061,1.148712,66,66,OPT
K_35,35,2380,126667,1.223702,68,68,OPT
K_36,36,2520,137900,1.337003,70,70,OPT
K_37,37,2664,149778,1.491769,72,72,OPT
K_38,38,2812,162319,1.579351,74,74,OPT
K_39,39,2964,175541,1.752884,76,76,OPT
K_40,40,3120,189462,1.950037,78,78,OPT
K_41,41,3280,204100,2.068568,80,80,OPT
K_42,42,3444,219473,2.173298,82,82,OPT
K_43,43,3612,235599,2.346744,84,84,OPT
K_44,44,3784,252496,2.773506,86,86,OPT
K_45,45,3960,270182,2.759992,88,88,OPT
K_46,46,4140,288675,2.930563,90,90,OPT
K_47,47,4324,307993,3.041683,92,92,OPT
K_48,48,4512,328154,3.379396,94,94,OPT
K_49,49,4704,349176,3.570311,96,96,OPT
K_50,50,4900,371077,3.744634,98,98,OPT
Q_3,3,48,367,0.001681,6,8,OPT
Q_4,4,112,1209,0.010854,7,9,OPT
Q_5,5,256,3701,0.041277,8,12,OPT
Q_6,6,640,11864,2.39265,10,19,OPT
