Graph,n,var,clause/constr,time,lambda,UB,status
GP_7_1,14,84,665,0.011634,6,8,OPT
GP_7_2,14,84,763,0.010191,6,9,OPT
GP_7_3,14,84,763,0.007521,6,9,OPT
GP_8_1,16,96,760,0.009345,6,8,OPT
GP_8_2,16,96,844,0.011117,6,8,OPT
GP_8_3,16,96,872,0.011695,6,9,OPT
GP_9_1,18,90,720,0.004886,5,5,OPT
GP_9_2,18,90,828,0.005698,5,5,OPT
GP_9_3,18,108,918,0.008874,6,9,OPT
GP_9_4,18,90,828,0.008737,5,5,OPT
GP_10_1,20,120,950,0.008919,6,8,OPT
GP_10_2,20,140,1260,0.207644,7,9,OPT
GP_10_3,20,120,1090,0.011242,6,9,OPT
GP_10_4,20,120,1090,0.009256,6,8,OPT
GP_11_1,22,132,1045,0.012593,6,8,OPT
GP_11_2,22,154,1386,0.633273,7,9,OPT
GP_11_3,22,132,1199,0.017431,6,9,OPT
GP_11_4,22,132,1199,0.025518,6,10,OPT
GP_11_5,22,154,1386,0.562889,7,8,OPT
GP_12_1,24,120,960,0.006286,5,5,OPT
GP_12_2,24,120,1104,0.011499,5,5,OPT
GP_12_3,24,144,1266,0.021787,6,11,OPT
GP_12_4,24,120,1032,0.007256,5,5,OPT
GP_12_5,24,120,1104,0.011591,5,5,OPT
GP_13_1,26,156,1235,0.017147,6,8,OPT
GP_13_2,26,156,1417,0.017043,6,9,OPT
GP_13_3,26,156,1417,0.025184,6,9,OPT
GP_13_4,26,156,1417,0.01966,6,8,OPT
GP_13_5,26,156,1417,0.029353,6,9,OPT
GP_13_6,26,156,1417,0.01597,6,9,OPT
GP_14_1,28,168,1330,0.020076,6,8,OPT
GP_14_2,28,168,1526,0.016953,6,8,OPT
GP_14_3,28,168,1526,0.024477,6,10,OPT
GP_14_4,28,168,1526,0.038862,6,10,OPT
GP_14_5,28,168,1526,0.021308,6,8,OPT
GP_14_6,28,168,1526,0.030831,6,9,OPT
GP_15_1,30,150,1200,0.012166,5,5,OPT
GP_15_2,30,150,1380,0.012835,5,5,OPT
GP_15_3,30,180,1635,0.028862,6,10,OPT
GP_15_4,30,150,1380,0.013072,5,5,OPT
GP_15_5,30,150,1290,0.009171,5,5,OPT
GP_15_6,30,180,1635,0.032395,6,10,OPT
GP_15_7,30,150,1380,0.009132,5,5,OPT
GP_16_1,32,192,1520,0.020569,6,8,OPT
GP_16_2,32,192,1744,0.018414,6,9,OPT
GP_16_3,32,192,1744,0.027076,6,9,OPT
GP_16_4,32,192,1688,0.032942,6,8,OPT
GP_16_5,32,192,1744,0.02652,6,9,OPT
GP_16_6,32,192,1744,0.041842,6,9,OPT
GP_16_7,32,192,1744,0.025396,6,9,OPT
GP_17_1,34,204,1615,0.022316,6,8,OPT
GP_17_2,34,204,1853,0.019549,6,8,OPT
GP_17_3,34,204,1853,0.026653,6,9,OPT
GP_17_4,34,204,1853,0.038806,6,11,OPT
